Group,Coil,MEP,Time,Subject
Go-only,PA,0.382329663,0,1
Go-only,PA,0.287636982,0,2
Go-only,PA,1.356879658,0,3
Go-only,PA,0.805463781,0,4
Go-only,PA,0.79185116,0,5
Go-only,PA,2.736443919,0,6
Go-only,PA,0.977113569,0,7
Go-only,PA,2.207769272,0,8
Go-only,PA,0.491130416,0,9
Go-only,PA,1.095834894,0,10
Go-only,PA,1.568266635,0,11
Go-only,PA,1.172147529,0,12
Go-only,PA,0.517735655,0,13
Go-only,PA,0.7389909,50,1
Go-only,PA,0.151012613,50,2
Go-only,PA,1.8201439,50,3
Go-only,PA,1.233314807,50,4
Go-only,PA,0.700715136,50,5
Go-only,PA,2.698871398,50,6
Go-only,PA,1.331949297,50,7
Go-only,PA,1.416682888,50,8
Go-only,PA,0.230556432,50,9
Go-only,PA,2.124952741,50,10
Go-only,PA,1.056686154,50,11
Go-only,PA,1.971614821,50,12
Go-only,PA,0.585972852,50,13
Go-only,PA,0.613943658,100,1
Go-only,PA,0.316743044,100,2
Go-only,PA,2.08967632,100,3
Go-only,PA,0.989095348,100,4
Go-only,PA,0.495403822,100,5
Go-only,PA,2.258299958,100,6
Go-only,PA,1.132005053,100,7
Go-only,PA,1.637182845,100,8
Go-only,PA,0.415276552,100,9
Go-only,PA,2.407100819,100,10
Go-only,PA,1.635789226,100,11
Go-only,PA,1.32664899,100,12
Go-only,PA,1.133634276,100,13
Go-only,PA,1.311629451,150,1
Go-only,PA,0.326731067,150,2
Go-only,PA,4.800327798,150,3
Go-only,PA,4.261538855,150,4
Go-only,PA,3.116227678,150,5
Go-only,PA,5.270331657,150,6
Go-only,PA,1.597309715,150,7
Go-only,PA,4.963705254,150,8
Go-only,PA,1.69097682,150,9
Go-only,PA,2.949312666,150,10
Go-only,PA,3.421826945,150,11
Go-only,PA,2.664492288,150,12
Go-only,PA,2.872692542,150,13
Go-only,PA,1.849918605,200,1
Go-only,PA,1.148408622,200,2
Go-only,PA,5.293412359,200,3
Go-only,PA,5.135247948,200,4
Go-only,PA,5.97730047,200,5
Go-only,PA,7.590374449,200,6
Go-only,PA,1.80302643,200,7
Go-only,PA,5.531193352,200,8
Go-only,PA,1.574387737,200,9
Go-only,PA,4.076450681,200,10
Go-only,PA,4.160822032,200,11
Go-only,PA,3.166691785,200,12
Go-only,PA,3.273145573,200,13
Go-only,PA,1.448246001,250,1
Go-only,PA,1.96414828,250,2
Go-only,PA,6.590352674,250,3
Go-only,PA,2.492994697,250,4
Go-only,PA,4.764401424,250,5
Go-only,PA,5.106883346,250,6
Go-only,PA,2.438140726,250,7
Go-only,PA,3.543064991,250,8
Go-only,PA,2.113198215,250,9
Go-only,PA,3.487815072,250,10
Go-only,PA,4.55498198,250,11
Go-only,PA,5.625653905,250,12
Go-only,PA,2.562737575,250,13
Go-only,PA,1.162313622,300,1
Go-only,PA,2.961642519,300,2
Go-only,PA,4.4464676,300,3
Go-only,PA,4.513935132,300,4
Go-only,PA,3.047004565,300,5
Go-only,PA,5.292737427,300,6
Go-only,PA,2.459727395,300,7
Go-only,PA,5.367885974,300,8
Go-only,PA,1.071893288,300,9
Go-only,PA,3.336523046,300,10
Go-only,PA,3.506208099,300,11
