Analysis,Group,Type,Distance,Time,Subject
Cue,Euclidean,Real,0.338213362,0,1
Cue,Euclidean,Real,0.120642429,0,2
Cue,Euclidean,Real,0.666108763,0,3
Cue,Euclidean,Real,0.371022073,0,4
Cue,Euclidean,Real,0.454179558,0,5
Cue,Euclidean,Real,1.913775481,0,6
Cue,Euclidean,Real,0.245876704,0,7
Cue,Euclidean,Real,1.624918542,0,8
Cue,Euclidean,Real,0.351548722,0,9
Cue,Euclidean,Real,0.959977685,0,10
Cue,Euclidean,Real,0.855910879,0,11
Cue,Euclidean,Real,0.758166969,0,12
Cue,Euclidean,Real,0.587587592,0,13
Cue,Euclidean,Real,0.33583212,50,1
Cue,Euclidean,Real,0.508473641,50,2
Cue,Euclidean,Real,0.595439476,50,3
Cue,Euclidean,Real,0.55582725,50,4
Cue,Euclidean,Real,0.568513379,50,5
Cue,Euclidean,Real,2.003748656,50,6
Cue,Euclidean,Real,0.712067246,50,7
Cue,Euclidean,Real,0.516193065,50,8
Cue,Euclidean,Real,0.513430409,50,9
Cue,Euclidean,Real,0.673326028,50,10
Cue,Euclidean,Real,1.113678358,50,11
Cue,Euclidean,Real,1.788664575,50,12
Cue,Euclidean,Real,0.370072372,50,13
Cue,Euclidean,Real,0.132274287,100,1
Cue,Euclidean,Real,0.137265429,100,2
Cue,Euclidean,Real,0.463131814,100,3
Cue,Euclidean,Real,0.806023974,100,4
Cue,Euclidean,Real,0.208741231,100,5
Cue,Euclidean,Real,1.417823909,100,6
Cue,Euclidean,Real,0.480062831,100,7
Cue,Euclidean,Real,0.666325267,100,8
Cue,Euclidean,Real,0.738431183,100,9
Cue,Euclidean,Real,0.478355494,100,10
Cue,Euclidean,Real,0.90857716,100,11
Cue,Euclidean,Real,1.232603913,100,12
Cue,Euclidean,Real,0.749236453,100,13
Cue,Euclidean,Real,1.363023861,150,1
Cue,Euclidean,Real,0.512795345,150,2
Cue,Euclidean,Real,3.276402714,150,3
Cue,Euclidean,Real,3.778935772,150,4
Cue,Euclidean,Real,2.716610877,150,5
Cue,Euclidean,Real,6.522308071,150,6
Cue,Euclidean,Real,0.492305772,150,7
Cue,Euclidean,Real,3.815238324,150,8
Cue,Euclidean,Real,2.205286519,150,9
Cue,Euclidean,Real,1.114711558,150,10
Cue,Euclidean,Real,2.809935706,150,11
Cue,Euclidean,Real,2.58875729,150,12
Cue,Euclidean,Real,1.008577548,150,13
Cue,Euclidean,Real,0.999457821,200,1
Cue,Euclidean,Real,0.613421408,200,2
Cue,Euclidean,Real,2.697169807,200,3
Cue,Euclidean,Real,4.138685009,200,4
Cue,Euclidean,Real,5.658259485,200,5
Cue,Euclidean,Real,8.499742515,200,6
Cue,Euclidean,Real,1.025461427,200,7
Cue,Euclidean,Real,4.38398992,200,8
Cue,Euclidean,Real,1.836319768,200,9
