Group,Coil,MEP,Time,Subject
Go-only,PA,1.814333854,050 - 100,1
Go-only,PA,3.624797594,050 - 100,2
Go-only,PA,7.266437639,050 - 100,3
Go-only,PA,6.154480897,050 - 100,4
Go-only,PA,6.630385665,050 - 100,5
Go-only,PA,7.560113116,050 - 100,6
Go-only,PA,3.69288347,050 - 100,7
Go-only,PA,5.662872096,050 - 100,8
Go-only,PA,2.525373617,050 - 100,9
Go-only,PA,3.727994169,050 - 100,10
Go-only,PA,5.296117364,050 - 100,11
Go-only,PA,9.315344121,050 - 100,12
Go-only,PA,5.154114436,050 - 100,13
Go-only,PA,1.39849538,100 - 150,1
Go-only,PA,0.847801298,100 - 150,2
Go-only,PA,3.651198707,100 - 150,3
Go-only,PA,1.453331724,100 - 150,4
Go-only,PA,0.195516158,100 - 150,5
Go-only,PA,3.907369642,100 - 150,6
Go-only,PA,2.970932435,100 - 150,7
Go-only,PA,5.16075453,100 - 150,8
Go-only,PA,0.743358973,100 - 150,9
Go-only,PA,2.904874623,100 - 150,10
Go-only,PA,2.790465356,100 - 150,11
Go-only,PA,2.476825016,100 - 150,12
Go-only,PA,1.459451414,100 - 150,13
Go-only,PA,0.394274992,150 - 200,1
Go-only,PA,0.263081039,150 - 200,2
Go-only,PA,2.455738715,150 - 200,3
Go-only,PA,0.624824281,150 - 200,4
Go-only,PA,0.852903684,150 - 200,5
Go-only,PA,2.51018984,150 - 200,6
Go-only,PA,1.622981409,150 - 200,7
Go-only,PA,1.805005423,150 - 200,8
Go-only,PA,0.309554973,150 - 200,9
Go-only,PA,3.073030935,150 - 200,10
Go-only,PA,1.397318619,150 - 200,11
Go-only,PA,1.280878008,150 - 200,12
Go-only,PA,0.509907023,150 - 200,13
Go-only,PA,0.355724494,200 - 250,1
Go-only,PA,0.177245752,200 - 250,2
Go-only,PA,1.950081376,200 - 250,3
Go-only,PA,1.042771538,200 - 250,4
Go-only,PA,0.582333747,200 - 250,5
Go-only,PA,1.456876397,200 - 250,6
Go-only,PA,2.089567755,200 - 250,7
Go-only,PA,1.723035256,200 - 250,8
Go-only,PA,0.395676196,200 - 250,9
Go-only,PA,1.969739156,200 - 250,10
Go-only,PA,1.101585854,200 - 250,11
Go-only,PA,1.718058117,200 - 250,12
Go-only,PA,0.53692576,200 - 250,13
Go-only,PA,0.867829591,250 - 300,1
Go-only,PA,0.356313423,250 - 300,2
Go-only,PA,1.05773924,250 - 300,3
Go-only,PA,1.180151186,250 - 300,4
Go-only,PA,0.633911778,250 - 300,5
Go-only,PA,1.277059872,250 - 300,6
Go-only,PA,2.135214843,250 - 300,7
Go-only,PA,2.27302871,250 - 300,8
Go-only,PA,0.678054203,250 - 300,9
Go-only,PA,1.081298234,250 - 300,10
Go-only,PA,0.92545233,250 - 300,11
Go-only,PA,2.554824855,250 - 300,12
Go-only,PA,0.431818561,250 - 300,13
Go-only,PA,0.461434161,300 - 350,1
Go-only,PA,0.299383902,300 - 350,2
Go-only,PA,0.485251642,300 - 350,3
Go-only,PA,1.864248428,300 - 350,4
Go-only,PA,0.719438153,300 - 350,5
Go-only,PA,1.716273283,300 - 350,6
Go-only,PA,1.493169918,300 - 350,7
Go-only,PA,2.336297009,300 - 350,8
Go-only,PA,0.526037454,300 - 350,9
Go-only,PA,1.410326678,300 - 350,10
Go-only,PA,1.023317983,300 - 350,11
Go-only,PA,2.811142897,300 - 350,12
Go-only,PA,0.830821164,300 - 350,13
Go-only,AP,1.853115153,050 - 100,1
Go-only,AP,1.024165123,050 - 100,2
Go-only,AP,3.641464104,050 - 100,3
Go-only,AP,4.208990727,050 - 100,4
Go-only,AP,3.600638433,050 - 100,5
Go-only,AP,9.338966098,050 - 100,6
Go-only,AP,3.702392167,050 - 100,7
Go-only,AP,3.483416026,050 - 100,8
Go-only,AP,8.637662603,050 - 100,9
Go-only,AP,7.509591741,050 - 100,10
Go-only,AP,6.257205487,050 - 100,11
Go-only,AP,3.864759482,050 - 100,12
Go-only,AP,3.780820161,050 - 100,13
Go-only,AP,1.333838701,100 - 150,1
Go-only,AP,1.50894739,100 - 150,2
Go-only,AP,2.902478947,100 - 150,3
Go-only,AP,1.476299613,100 - 150,4
Go-only,AP,1.89746721,100 - 150,5
Go-only,AP,2.326838493,100 - 150,6
Go-only,AP,2.579654281,100 - 150,7
Go-only,AP,2.30431504,100 - 150,8
Go-only,AP,4.039930007,100 - 150,9
Go-only,AP,1.509460784,100 - 150,10
Go-only,AP,2.865343631,100 - 150,11
Go-only,AP,0.831736392,100 - 150,12
Go-only,AP,NaN,100 - 150,13
Go-only,AP,0.234970395,150 - 200,1
Go-only,AP,0.351165793,150 - 200,2
Go-only,AP,1.37998816,150 - 200,3
Go-only,AP,1.10950339,150 - 200,4
Go-only,AP,0.141996738,150 - 200,5
Go-only,AP,0.734135288,150 - 200,6
Go-only,AP,2.17960418,150 - 200,7
Go-only,AP,1.729745126,150 - 200,8
Go-only,AP,1.05776395,150 - 200,9
Go-only,AP,0.955084493,150 - 200,10
Go-only,AP,NaN,150 - 200,11
Go-only,AP,0.547704004,150 - 200,12
Go-only,AP,0.407403551,150 - 200,13
Go-only,AP,0.690919877,200 - 250,1
Go-only,AP,0.185927582,200 - 250,2
Go-only,AP,1.08411115,200 - 250,3
Go-only,AP,0.904780185,200 - 250,4
Go-only,AP,0.352731213,200 - 250,5
Go-only,AP,1.179362643,200 - 250,6
Go-only,AP,1.531002268,200 - 250,7
Go-only,AP,NaN,200 - 250,8
Go-only,AP,0.706727202,200 - 250,9
Go-only,AP,2.335536628,200 - 250,10
Go-only,AP,2.009731583,200 - 250,11
Go-only,AP,0.793056804,200 - 250,12
Go-only,AP,0.677064647,200 - 250,13
Go-only,AP,0.520734484,250 - 300,1
Go-only,AP,0.290240642,250 - 300,2
Go-only,AP,0.663675891,250 - 300,3
Go-only,AP,0.8195035,250 - 300,4
Go-only,AP,0.652739132,250 - 300,5
Go-only,AP,2.357886362,250 - 300,6
Go-only,AP,2.088839658,250 - 300,7
Go-only,AP,0.874409062,250 - 300,8
Go-only,AP,0.790021896,250 - 300,9
Go-only,AP,2.050920232,250 - 300,10
